shortnam,longname,logmort0,risk,loggdp,logmortcap250,latitude,africa,asia,neoeuro,edes1975,malfal94,campaign,slave,mortality_per1000,region,gdp_pcap_1995,loggdp_1995,gdp_pcap_2005,loggdp_2005,gdp_pcap_2015,loggdp_2015,gdp_pcap_2023,loggdp_2023,trade_openness,life_expectancy,pop_density,fdi_pct_gdp,school_enrollment_sec,gdp_growth_1995_2005,gdp_growth_1995_2015,gdp_growth_1995_2023,log_trade,log_pop_density,hci,govt_effectiveness,logmortjam,logmortjam250,logmortnaval1,logmortnaval1250,logmortnaval2,logmortnaval2250
DZA,Algeria,4.35927,6.5,8.39,4.35927,0.3111,1.0,0.0,0,0.0,0.0,1,0,78.2,Africa,10588.4433695754,9.267518437194052,13738.495644436,9.527957072477657,15239.5171456469,9.631647145382209,15159.3242373415,9.6263710828296,40.1345741170703,76.475,19.3825602290762,0.455370730483787,105.164131811213,1.1379570724776542,1.2416471453822062,1.2363710828295993,3.692238160267001,2.964373704500768,0.5345564484596252,-0.2511914,4.3592696,4.3592696,4.3592696,4.3592696,4.3592696,4.3592696
AGO,Angola,5.63479,5.36,7.77,5.521461,0.1367,1.0,0.0,0,0.0,0.95,1,0,280.0,Africa,5983.18421691116,8.69670818297305,8895.37660461036,9.093286938114334,11392.9059344932,9.340746154234049,8788.26106439635,9.08117213998137,49.8489506740963,64.805,29.4777460495709,-1.07650107199669,,1.3232869381143342,1.5707461542340475,1.3111721399813696,3.908997446519225,3.383635607463654,0.362405389547348,-0.785190899999999,5.6347895,5.521461,5.6347895,5.521461,5.6347895,5.521461
ARG,Argentina,4.232656,6.39,9.13,4.232656,0.3778,0.0,0.0,0,90.0,0.0,1,0,68.9,Americas/Other,20819.4999479903,9.943645324012625,23262.4075792816,10.054593927993944,28669.2061336796,10.263578868702613,27230.3968496682,10.212089159548686,27.929760849367,77.543,16.6399559321662,1.82409522925391,,0.9245939279939446,1.133578868702612,1.0820891595486852,3.329692817420141,2.811806787082236,0.602144718170166,0.1837479,4.0342407,4.0342407,2.712706,2.712706,3.4177268,3.4177268
AUS,Australia,2.145931,9.32,9.9,2.145931,0.3,0.0,0.0,1,99.0,0.0,0,0,8.5,Neo-Europe,38653.3366778657,10.56238838089384,49997.0664953941,10.819719612597009,55879.9958817103,10.930961739672082,60684.9596204883,11.013451164144977,47.1453811065195,83.0512195121951,3.46591948538875,3.05761029844929,131.931564331055,0.9197196125970084,1.0309617396720814,1.1134511641449745,3.853236042595213,1.2429779611876917,0.770239531993866,1.8090452,2.1459312,2.1459312,2.1459312,2.1459312,2.1459312,2.1459312
BHS,Bahamas,4.442651,7.5,9.29,4.442651,0.2683,0.0,0.0,0,10.0,,0,0,85.0,Americas/Other,30128.1935557246,10.313216675322812,35365.4663980219,10.473491097507598,32777.5849410742,10.397500174814764,35221.2696932313,10.46940543174768,79.2424586933455,74.71,39.9040959040959,1.51932088638775,79.4858750299258,1.1834910975075985,1.1075001748147637,1.179405431747682,4.372512249785948,3.686478972865225,,0.7092986,4.4426513,4.4426513,4.4426513,4.4426513,4.4426513,4.4426513
BGD,Bangladesh,4.268438,5.14,6.88,4.268438,0.2667,0.0,1.0,0,0.0,0.12008,1,0,71.4,Asia,2351.70387946903,7.76289539950595,3231.61370692891,8.080736891126731,5352.71133299566,8.585358502728898,8242.39798977242,9.017046598742208,26.7780758040478,74.93,1319.17979689183,0.283870773350074,64.2997191043961,1.2007368911267315,1.705358502728898,2.1370465987422067,3.2875834857042454,7.184765456461525,0.4640364348888397,-0.618974599999999,4.268438,4.268438,4.268438,4.268438,4.268438,4.268438
BOL,Bolivia,4.26268,5.64,7.93,4.26268,0.1889,0.0,0.0,0,30.000002,0.00165,1,0,71.0,Americas/Other,6914.34189540931,8.841353068985514,8020.63568776794,8.989772960533386,11144.6415727207,9.318714084936794,11616.1575595159,9.3601523009805,46.9778716148403,68.739,11.3026483891812,0.652112801170427,90.5272216796875,1.0597729605333868,1.3887140849367938,1.4301523009804988,3.849676674135548,2.4250370689817675,,-0.6104172,4.0342407,4.0342407,,,4.535284,4.535284
BRA,Brazil,4.26268,7.91,8.73,4.26268,0.1111,0.0,0.0,0,55.0,0.036,1,0,71.0,Americas/Other,13550.4393737243,9.514174251887246,15221.0138281917,9.630432240773551,18357.0690615421,9.817770014260203,19079.8122132253,9.856386102879698,35.5845239386244,76.023,25.2616884857157,3.38960808548439,104.144660949707,0.9004322407735508,1.0877700142602027,1.1263861028796978,3.571910822514336,3.229288958936812,0.5514979362487793,-0.224002999999999,4.0342407,4.0342407,2.712706,2.712706,3.4177268,3.4177268
BFA,Burkina Faso,5.63479,4.45,6.85,5.521461,0.1444,1.0,0.0,0,0.0,0.95,1,0,280.0,Africa,1183.52861008084,7.076255602790146,1664.99543180023,7.417577658747255,2101.70266192027,7.650503086588339,2486.20669812871,7.818513413477029,60.492898852298,61.292,84.1585380116959,-0.874048616893636,29.9905774531085,0.567577658747255,0.8005030865883391,0.9685134134770292,4.102525983805707,4.432702377304481,0.3836919367313385,-0.8748674,5.6347895,5.521461,5.6347895,5.521461,5.6347895,5.521461
CMR,Cameroon,5.63479,6.45,7.5,5.521461,0.0667,1.0,0.0,0,0.0,0.95,1,0,280.0,Africa,3526.54367510339,8.168073541401654,4199.72270969362,8.342773780590425,4698.66677843587,8.455034083295281,4875.25120768005,8.491926911884857,34.4031785915423,63.968,60.0213386642973,1.66655391243674,,0.8427737805904254,0.9550340832952812,0.9919269118848568,3.538148961027578,4.094700143400575,0.3974015116691589,-0.800788699999999,5.6347895,5.521461,5.6347895,5.521461,5.6347895,5.521461
