specification,n_controls,n,estimator,beta,se_robust,first_stage_f,ci_lo,ci_hi
Spec 1: Latitude only,1,64,2SLS,0.9620278987071178,0.2321286744730634,13.481140079051986,0.5070556967399136,1.417000100674322
Spec 1: Latitude only,1,64,DML (Lasso),0.9564027628226096,0.22842566370477485,,0.5086884619612508,1.4041170636839684
Spec 1: Latitude only,1,64,DML (Ridge),0.9475477678298269,0.22892562655048335,,0.4988535397908795,1.3962419958687742
Spec 1: Latitude only,1,64,DML (Elastic Net),0.9587707459028761,0.22948469164781077,,0.508980750273167,1.4085607415325851
Spec 1: Latitude only,1,64,DML (Random Forest),0.9096184324469151,0.24717697551510012,,0.4251515604373189,1.3940853044565114
Spec 1: Latitude only,1,64,DML (Gradient Boosting),0.920732323839041,0.29349501735045014,,0.3454820898321588,1.4959825578459234
Spec 2: AJR robustness controls,3,62,2SLS,0.6601675791827033,0.36776993552047293,3.337325699455543,-0.060661494437423635,1.3809966528028301
Spec 2: AJR robustness controls,3,62,DML (Lasso),0.5590022750624014,0.25664247244000304,,0.05598302907999542,1.0620215210448074
Spec 2: AJR robustness controls,3,62,DML (Ridge),0.6084732202199246,0.2752597366419185,,0.06896413640176435,1.1479823040380848
Spec 2: AJR robustness controls,3,62,DML (Elastic Net),0.5720371301992409,0.26781356421462343,,0.047122544338578876,1.0969517160599027
Spec 2: AJR robustness controls,3,62,DML (Random Forest),1.3661683926329091,0.8954960686938785,,-0.3890039020070928,3.121340687272911
Spec 2: AJR robustness controls,3,62,DML (Gradient Boosting),1.073395553951458,0.6946234463929511,,-0.2880664009787264,2.434857508881642
Spec 3: AJR + mediators,7,56,2SLS,0.44993726744481216,0.3355968578801681,2.826107190780982,-0.20783257400031724,1.1077071088899415
Spec 3: AJR + mediators,7,56,DML (Lasso),0.4223168965467347,0.23641072148165132,,-0.041048117557301866,0.8856819106507713
Spec 3: AJR + mediators,7,56,DML (Ridge),0.36761341918193313,0.18415038082083113,,0.006678672773104133,0.7285481655907622
Spec 3: AJR + mediators,7,56,DML (Elastic Net),0.4126007860810927,0.2267040544462545,,-0.03173916063356613,0.8569407327957514
Spec 3: AJR + mediators,7,56,DML (Random Forest),0.6941019004576008,0.34095233070385855,,0.025835332278038026,1.3623684686371635
Spec 3: AJR + mediators,7,56,DML (Gradient Boosting),0.6096330420204188,0.3128254560672727,,-0.003504851871435677,1.2227709359122731
